url,round,home_team,away_team,goals_home_final,goals_away_final,final_result,goals_home_1half,goals_away_1half,1half_result,ball_possessionhome,ball_possessionaway,goal_attemptshome,goal_attemptsaway,shots_on_goalhome,shots_on_goalaway,shots_off_goalhome,shots_off_goalaway,blocked_shotshome,blocked_shotsaway,free_kickshome,free_kicksaway,corner_kickshome,corner_kicksaway,offsideshome,offsidesaway,throw_inshome,throw_insaway,goalkeeper_saveshome,goalkeeper_savesaway,foulshome,foulsaway,yellow_cardshome,yellow_cardsaway,total_passeshome,total_passesaway,tackleshome,tacklesaway,attackshome,attacksaway,dangerous_attackshome,dangerous_attacksaway,red_cardshome,red_cardsaway,completed_passeshome,completed_passesaway
https://www.scoreboard.com/uk/match/CK3gT9nI/#match-summary,2,Hertha,Wolfsburg,0,3,Away,0,1,Away,54,46,5,3,2,1,2,2,1,0,6,7,2,2,1,1,,,0,2,7,5,1.0,0.0,246.0,199.0,5.0,15.0,59,42,28,22,,,196.0,145.0
https://www.scoreboard.com/uk/match/0p0kUkXB/#match-summary,2,RB Leipzig,Frankfurt,2,1,Home,1,0,Home,46,54,9,3,2,1,4,2,3,0,11,3,2,1,0,2,,,1,1,3,8,1.0,1.0,240.0,273.0,10.0,6.0,44,63,19,19,,,193.0,226.0
https://www.scoreboard.com/uk/match/W48YXXXn/#match-summary,2,Schalke,Bayern,0,3,Away,0,1,Away,32,68,2,6,1,3,1,2,0,1,5,5,0,4,0,1,,,2,1,6,4,,,174.0,363.0,10.0,5.0,38,73,15,33,,,130.0,315.0
https://www.scoreboard.com/uk/match/Ae7xXimg/#match-summary,2,Augsburg,Union Berlin,1,1,Draw,0,0,Draw,53,47,4,7,0,0,3,3,1,4,11,11,2,2,1,2,,,0,0,10,9,2.0,0.0,189.0,176.0,6.0,5.0,38,51,24,15,,,139.0,126.0
https://www.scoreboard.com/uk/match/0MH2wfAP/#match-summary,2,Dusseldorf,Leverkusen,1,3,Away,0,3,Away,31,69,4,6,2,4,0,1,2,1,4,6,0,2,0,0,,,1,2,6,4,0.0,1.0,153.0,335.0,11.0,6.0,53,59,8,8,,,108.0,292.0
https://www.scoreboard.com/uk/match/bHwKEAXO/#match-summary,2,Hoffenheim,Bremen,3,2,Home,0,1,Away,57,43,2,7,0,2,1,2,1,3,8,6,0,2,2,0,,,1,0,4,7,0.0,1.0,306.0,231.0,7.0,10.0,63,66,16,10,,,256.0,175.0
https://www.scoreboard.com/uk/match/xr9UYDIt/#match-summary,2,Mainz,Monchengladbach,1,3,Away,1,1,Draw,45,55,8,8,3,2,4,2,1,4,9,9,1,3,0,0,,,1,2,9,8,2.0,0.0,184.0,233.0,8.0,12.0,52,44,29,24,,,148.0,190.0
https://www.scoreboard.com/uk/match/6N0oVVH5/#match-summary,2,Paderborn,Freiburg,1,3,Away,1,2,Away,48,52,10,7,2,2,5,4,3,1,4,7,6,2,1,0,,,0,1,6,4,1.0,1.0,179.0,195.0,9.0,11.0,50,42,16,12,,,143.0,147.0
https://www.scoreboard.com/uk/match/8fLd7z1H/#match-summary,1,Union Berlin,RB Leipzig,0,4,Away,0,3,Away,37,63,7,7,1,4,2,3,4,0,3,7,3,4,1,0,,,1,1,6,1,,,176.0,315.0,6.0,5.0,35,73,21,16,,,120.0,266.0
https://www.scoreboard.com/uk/match/I5SqAxHb/#match-summary,1,Frankfurt,Hoffenheim,1,0,Home,1,0,Home,29,71,9,9,5,1,1,6,3,2,5,10,4,2,2,1,,,1,4,7,4,1.0,0.0,126.0,315.0,13.0,8.0,47,62,26,21,,,88.0,265.0
https://www.scoreboard.com/uk/match/phUyCbnn/#match-summary,1,Monchengladbach,Schalke,0,0,Draw,0,0,Draw,62,38,7,4,0,0,2,3,5,1,5,7,5,1,1,0,,,0,0,5,4,1.0,1.0,293.0,184.0,14.0,10.0,57,48,31,20,,,235.0,137.0
https://www.scoreboard.com/uk/match/zsNl9dW4/#match-summary,1,Bremen,Dusseldorf,1,3,Away,0,1,Away,68,32,6,3,0,2,5,1,1,0,8,3,6,2,1,0,,,1,0,2,8,0.0,2.0,341.0,162.0,4.0,10.0,76,47,37,16,,,296.0,130.0
https://www.scoreboard.com/uk/match/6RbRie1U/#match-summary,1,Dortmund,Augsburg,5,1,Home,1,1,Draw,78,22,13,2,5,1,5,1,3,0,3,3,7,0,0,0,,,0,4,3,3,,,426.0,124.0,5.0,14.0,85,31,73,9,,,393.0,84.0
https://www.scoreboard.com/uk/match/EXLh8GoB/#match-summary,1,Freiburg,Mainz,3,0,Home,0,0,Draw,50,50,10,11,3,3,6,3,1,5,6,3,4,4,0,1,,,3,3,3,6,0.0,3.0,199.0,206.0,10.0,5.0,42,49,25,36,,,145.0,159.0
https://www.scoreboard.com/uk/match/WlQXCvXu/#match-summary,1,Leverkusen,Paderborn,3,2,Home,2,2,Draw,75,25,5,9,2,5,2,0,1,4,5,2,4,4,1,0,,,3,0,2,5,1.0,0.0,399.0,126.0,5.0,13.0,83,33,40,22,,,352.0,82.0
https://www.scoreboard.com/uk/match/vFTuBI1h/#match-summary,1,Wolfsburg,FC Koln,2,1,Home,1,0,Home,50,50,7,4,2,0,2,2,3,2,10,8,1,2,1,0,,,0,1,7,11,0.0,1.0,203.0,196.0,11.0,12.0,56,57,18,44,,,160.0,146.0
