url,round,home_team,away_team,goals_home_final,goals_away_final,final_result,goals_home_1half,goals_away_1half,1half_result,ball_possessionhome,ball_possessionaway,goal_attemptshome,goal_attemptsaway,shots_on_goalhome,shots_on_goalaway,shots_off_goalhome,shots_off_goalaway,blocked_shotshome,blocked_shotsaway,free_kickshome,free_kicksaway,corner_kickshome,corner_kicksaway,offsideshome,offsidesaway,goalkeeper_saveshome,goalkeeper_savesaway,foulshome,foulsaway,yellow_cardshome,yellow_cardsaway,total_passeshome,total_passesaway,tackleshome,tacklesaway,attackshome,attacksaway,dangerous_attackshome,dangerous_attacksaway,red_cardshome,red_cardsaway,completed_passeshome,completed_passesaway,throw_inshome,throw_insaway
https://www.scoreboard.com/game/lbtntBrc/#match-summary,12,Dusseldorf,Bayern Munich,0,4,Away,0,3,Away,28,72,5,11,0,3,1,5,4,3,5,4,4,3,0,3,0,0,4,2,1.0,1.0,135.0,361.0,11.0,6.0,34,92,13,35,,,,,,
https://www.scoreboard.com/game/OSjr7g53/#match-summary,25,Freiburg,Union Berlin,3,1,Home,1,0,Home,56,44,4,5,2,2,0,2,2,1,6,4,6,1,3,0,2,1,4,8,1.0,0.0,210.0,171.0,6.0,3.0,24,14,11,23,,,,,,
https://www.scoreboard.com/game/bPPtYS8Q/#match-summary,21,Eintracht Frankfurt,Augsburg,5,0,Home,1,0,Home,57,43,4,5,3,3,0,1,1,1,5,6,0,3,1,1,3,2,4,4,,,247.0,183.0,10.0,6.0,69,43,27,16,,,,,,
https://www.scoreboard.com/game/jVEN8cNO/#match-summary,9,Paderborn,Dusseldorf,2,0,Home,1,0,Home,57,43,6,7,2,1,4,3,0,3,6,10,3,3,0,0,1,1,10,6,2.0,1.0,228.0,173.0,4.0,8.0,54,50,19,17,,,189.0,127.0,,
https://www.scoreboard.com/game/6JnTPkbG/#match-summary,11,Schalke,Dusseldorf,3,3,Draw,1,0,Home,63,37,6,3,2,2,3,1,1,0,8,5,1,2,0,0,2,1,5,8,,,283.0,162.0,4.0,8.0,61,54,16,7,,,,,,
https://www.scoreboard.com/game/OULlmaEU/#match-summary,24,Hoffenheim,Bayern Munich,0,6,Away,0,4,Away,33,67,3,16,1,8,1,5,1,3,6,3,1,4,1,4,4,1,2,3,,,187.0,374.0,12.0,7.0,26,66,12,44,,,,,,
https://www.scoreboard.com/game/G8nNjvKT/#match-summary,17,Mainz,Bayer Leverkusen,0,1,Away,0,0,Draw,32,68,8,3,1,0,4,1,3,2,6,9,3,3,5,2,0,1,4,4,,,147.0,318.0,9.0,9.0,56,55,13,14,,,,,,
https://www.scoreboard.com/game/APnv8Zkc/#match-summary,25,Bayern Munich,Augsburg,2,0,Home,0,0,Draw,77,23,2,3,0,1,1,0,1,2,5,3,6,2,0,2,1,0,3,3,,,404.0,122.0,10.0,7.0,84,38,39,12,,,,,,
https://www.scoreboard.com/game/MBGoU4k2/#match-summary,13,Hoffenheim,Dusseldorf,1,1,Draw,1,0,Home,55,45,5,2,2,1,3,0,0,1,9,5,1,1,1,2,1,1,5,7,0.0,2.0,304.0,236.0,7.0,14.0,66,71,9,18,,,,,,
https://www.scoreboard.com/game/b7WAy2FI/#match-summary,23,Bayer Leverkusen,Augsburg,2,0,Home,1,0,Home,78,22,4,3,2,0,1,3,1,0,6,6,2,2,0,2,0,1,5,3,1.0,3.0,437.0,121.0,12.0,5.0,88,35,17,10,,,,,,
