home_team,away_team,goals_home_final,goals_away_final,final_result,goals_home_1half,goals_away_1half,1half_result,ball_possessionhome,ball_possessionaway,goal_attemptshome,goal_attemptsaway,shots_on_goalhome,shots_on_goalaway,shots_off_goalhome,shots_off_goalaway,blocked_shotshome,blocked_shotsaway,free_kickshome,free_kicksaway,corner_kickshome,corner_kicksaway,offsideshome,offsidesaway,goalkeeper_saveshome,goalkeeper_savesaway,foulshome,foulsaway,yellow_cardshome,yellow_cardsaway,total_passeshome,total_passesaway,tackleshome,tacklesaway,attackshome,attacksaway,dangerous_attackshome,dangerous_attacksaway,red_cardshome,red_cardsaway,completed_passeshome,completed_passesaway
Monchengladbach,Bayern,2,1,1,0,0,0,36,64,1,15,1,4,0,6,0,5,8,6,0,4,3,0,4,1,4,7,1.0,0.0,176.0,299.0,8.0,2.0,30,65,13,34,0.0,0.0,0.0,0.0
RB Leipzig,Hoffenheim,3,1,1,1,0,1,42,58,11,5,7,0,1,2,3,3,5,7,5,3,2,1,0,6,6,4,0.0,0.0,221.0,307.0,7.0,9.0,49,64,19,25,0.0,0.0,0.0,0.0
Mainz,Frankfurt,2,1,1,0,1,-1,54,46,4,7,1,2,2,3,1,2,7,7,3,3,1,0,1,1,6,7,0.0,1.0,223.0,185.0,9.0,14.0,74,67,33,17,0.0,1.0,0.0,0.0
Wolfsburg,Bremen,2,3,-1,1,2,-1,58,42,11,5,3,2,3,1,5,2,8,11,5,0,2,1,0,2,9,7,0.0,0.0,238.0,173.0,7.0,7.0,71,49,18,15,0.0,0.0,0.0,0.0
Monchengladbach,Freiburg,4,2,1,1,1,0,55,45,10,3,5,2,4,0,1,1,9,12,1,1,1,0,1,4,9,9,2.0,1.0,222.0,184.0,3.0,5.0,40,51,25,18,0.0,0.0,0.0,0.0
Bayern,Leverkusen,1,2,-1,1,2,-1,72,28,7,7,2,5,4,1,1,1,7,9,2,1,3,1,3,1,6,6,0.0,1.0,360.0,140.0,7.0,10.0,100,27,40,9,0.0,0.0,0.0,0.0
FC Koln,Augsburg,1,1,0,0,1,-1,54,46,4,8,1,2,3,5,0,1,15,10,1,3,0,0,1,1,11,15,5.0,3.0,208.0,168.0,2.0,4.0,45,49,21,21,1.0,1.0,0.0,0.0
Hertha,Dortmund,1,2,-1,1,2,-1,34,66,7,5,2,4,4,0,1,1,7,8,1,1,0,1,2,1,8,7,2.0,2.0,184.0,375.0,12.0,4.0,49,72,13,19,0.0,1.0,0.0,0.0
Hoffenheim,Dusseldorf,1,1,0,1,0,1,55,45,5,2,2,1,3,0,0,1,9,5,1,1,1,2,1,1,5,7,0.0,2.0,304.0,236.0,7.0,14.0,66,71,9,18,0.0,0.0,0.0,0.0
Paderborn,RB Leipzig,2,3,-1,0,3,-1,43,57,3,10,2,4,1,3,0,3,7,5,4,5,1,1,1,2,4,6,1.0,1.0,206.0,271.0,6.0,12.0,49,58,22,19,0.0,0.0,0.0,0.0
Hoffenheim,Mainz,1,5,-1,0,1,-1,57,43,7,7,2,2,3,5,2,0,12,6,5,1,1,0,1,2,6,12,1.0,1.0,266.0,195.0,8.0,12.0,51,56,19,20,0.0,1.0,228.0,159.0
Augsburg,Hertha,4,0,1,2,0,1,42,58,7,2,3,1,4,1,0,0,11,6,1,1,2,1,1,1,4,8,0.0,1.0,153.0,225.0,11.0,7.0,39,53,21,11,0.0,1.0,115.0,186.0
RB Leipzig,FC Koln,4,1,1,3,1,1,73,27,11,2,5,1,5,1,1,0,9,7,6,1,2,5,0,2,5,5,0.0,0.0,415.0,153.0,5.0,3.0,98,22,35,11,0.0,0.0,0.0,0.0
Bremen,Schalke,1,2,-1,0,1,-1,43,57,6,4,1,1,1,2,4,1,12,5,1,1,1,4,0,1,4,6,0.0,0.0,217.0,284.0,15.0,13.0,60,76,15,10,0.0,0.0,0.0,0.0
Dusseldorf,Bayern,0,4,-1,0,3,-1,28,72,5,11,0,3,1,5,4,3,5,4,4,3,0,3,0,0,4,2,1.0,1.0,135.0,361.0,11.0,6.0,34,92,13,35,0.0,0.0,0.0,0.0
Frankfurt,Wolfsburg,0,2,-1,0,1,-1,58,42,6,3,3,2,2,0,1,1,16,7,7,0,0,2,1,3,7,14,1.0,3.0,180.0,140.0,9.0,9.0,51,51,25,11,0.0,1.0,0.0,0.0
Leverkusen,Freiburg,1,1,0,1,1,0,79,21,16,3,5,1,6,2,5,0,6,3,8,2,1,0,0,4,2,5,0.0,0.0,365.0,99.0,3.0,6.0,65,38,54,6,0.0,0.0,0.0,0.0
Union Berlin,Monchengladbach,2,0,1,1,0,1,40,60,7,5,3,2,3,3,1,0,2,9,2,5,1,1,2,2,8,1,1.0,0.0,182.0,277.0,7.0,3.0,69,58,16,33,0.0,0.0,0.0,0.0
Freiburg,Frankfurt,1,0,1,0,0,0,46,54,7,6,4,2,1,3,2,1,9,4,4,3,2,1,2,4,2,9,0.0,2.0,167.0,197.0,7.0,8.0,48,64,18,20,0.0,1.0,0.0,0.0
Wolfsburg,Leverkusen,0,2,-1,0,1,-1,40,60,3,3,0,2,3,1,0,0,6,6,2,0,1,1,1,0,5,5,1.0,1.0,193.0,300.0,9.0,11.0,70,57,18,6,0.0,0.0,0.0,0.0
Monchengladbach,Bremen,3,1,1,2,0,1,58,42,8,7,2,3,3,3,3,1,10,12,1,1,3,0,3,0,9,9,2.0,1.0,236.0,170.0,10.0,5.0,65,51,27,6,0.0,0.0,0.0,0.0
Bayern,Dortmund,4,0,1,1,0,1,61,39,8,1,3,0,4,1,1,0,8,6,2,1,3,1,0,2,4,7,0.0,0.0,339.0,209.0,15.0,6.0,65,41,31,18,0.0,0.0,0.0,0.0
Hertha,RB Leipzig,2,4,-1,1,2,-1,30,70,4,6,2,4,2,1,0,1,7,7,0,3,1,2,2,1,5,4,1.0,1.0,148.0,335.0,8.0,6.0,36,83,4,31,0.0,0.0,0.0,0.0
Mainz,Union Berlin,2,3,-1,0,2,-1,48,52,5,10,2,4,3,4,0,2,8,9,1,1,4,1,2,2,5,7,1.0,1.0,205.0,220.0,4.0,7.0,60,65,26,14,0.0,0.0,0.0,0.0
Paderborn,Augsburg,0,1,-1,0,1,-1,60,40,4,6,1,2,2,2,1,2,7,9,2,2,0,3,1,1,9,5,0.0,0.0,254.0,169.0,9.0,10.0,47,53,18,17,0.0,0.0,0.0,0.0
Schalke,Dusseldorf,3,3,0,1,0,1,63,37,6,3,2,2,3,1,1,0,8,5,1,2,0,0,2,1,5,8,0.0,0.0,283.0,162.0,4.0,8.0,61,54,16,7,0.0,0.0,0.0,0.0
Augsburg,Schalke,2,3,-1,1,1,0,35,65,7,3,3,0,3,1,1,2,6,8,1,1,2,1,0,2,6,6,0.0,2.0,148.0,278.0,9.0,6.0,54,56,23,15,0.0,0.0,97.0,225.0
Dusseldorf,FC Koln,2,0,1,1,0,1,43,57,5,2,2,0,3,2,0,0,12,4,1,0,0,2,0,1,4,12,0.0,2.0,165.0,220.0,11.0,3.0,50,60,24,30,0.0,0.0,123.0,180.0
Union Berlin,Hertha,1,0,1,0,0,0,56,44,8,2,4,1,2,1,2,0,5,8,0,2,1,1,1,4,7,3,0.0,0.0,256.0,203.0,8.0,2.0,79,38,20,15,0.0,0.0,209.0,154.0
Bremen,Freiburg,2,2,0,1,1,0,46,54,6,6,3,1,1,5,2,0,5,8,2,0,0,2,0,2,8,3,0.0,0.0,230.0,263.0,9.0,7.0,43,56,11,17,0.0,0.0,185.0,227.0
Dortmund,Wolfsburg,3,0,1,0,0,0,62,38,5,6,1,0,3,6,1,0,12,8,4,1,0,0,0,1,8,12,1.0,2.0,301.0,182.0,7.0,10.0,59,30,18,14,0.0,0.0,254.0,134.0
Frankfurt,Bayern,5,1,1,2,1,1,39,61,9,3,4,2,1,1,4,0,3,9,2,0,1,2,1,2,8,1,0.0,0.0,196.0,306.0,13.0,3.0,44,53,12,16,0.0,1.0,142.0,256.0
Leverkusen,Monchengladbach,1,2,-1,1,2,-1,51,49,8,6,3,3,4,1,1,2,6,9,6,0,2,1,1,2,7,4,2.0,0.0,217.0,222.0,11.0,8.0,54,55,23,13,0.0,0.0,172.0,184.0
RB Leipzig,Mainz,8,0,1,5,0,1,65,35,13,5,8,1,4,1,1,3,3,4,3,1,0,1,1,3,4,3,0.0,0.0,339.0,183.0,4.0,6.0,64,36,30,13,0.0,0.0,304.0,138.0
Monchengladbach,Frankfurt,4,2,1,2,0,1,58,42,5,4,3,2,2,1,0,1,11,6,2,3,0,2,2,1,6,9,1.0,0.0,236.0,165.0,10.0,12.0,55,64,24,18,0.0,0.0,180.0,111.0
Wolfsburg,Augsburg,0,0,0,0,0,0,51,49,5,6,2,2,3,3,0,1,7,11,4,1,1,0,2,2,8,6,0.0,0.0,211.0,200.0,10.0,13.0,54,48,13,27,0.0,0.0,159.0,151.0
Leverkusen,Bremen,2,2,0,1,1,0,59,41,12,5,3,2,5,3,4,0,9,9,6,0,1,1,1,2,7,8,0.0,0.0,265.0,191.0,4.0,8.0,77,32,33,7,0.0,0.0,224.0,142.0
Bayern,Union Berlin,2,1,1,1,0,1,72,28,6,2,3,0,1,1,2,1,10,5,2,0,1,1,0,2,4,8,0.0,1.0,381.0,142.0,9.0,12.0,80,50,28,15,0.0,0.0,340.0,97.0
Freiburg,RB Leipzig,2,1,1,1,0,1,41,59,7,12,1,5,2,2,4,5,4,6,1,3,3,1,5,0,4,3,0.0,0.0,217.0,321.0,8.0,5.0,40,64,16,34,0.0,0.0,184.0,285.0
Hertha,Hoffenheim,2,3,-1,0,2,-1,31,69,5,8,1,5,4,2,0,1,6,10,1,2,2,2,3,1,8,4,0.0,0.0,155.0,359.0,9.0,11.0,56,46,28,9,0.0,0.0,121.0,313.0
Paderborn,Dusseldorf,2,0,1,1,0,1,57,43,6,7,2,1,4,3,0,3,6,10,3,3,0,0,1,1,10,6,2.0,1.0,228.0,173.0,4.0,8.0,54,50,19,17,0.0,0.0,189.0,127.0
Schalke,Dortmund,0,0,0,0,0,0,48,52,3,2,0,2,3,0,0,0,3,8,5,1,3,0,2,0,4,2,1.0,1.0,88.0,118.0,5.0,4.0,69,47,35,12,0.0,0.0,62.0,91.0
Hoffenheim,Schalke,2,0,1,0,0,0,45,55,4,7,0,1,4,6,0,0,8,10,1,4,1,2,1,0,9,5,1.0,0.0,177.0,211.0,11.0,6.0,49,56,10,38,0.0,0.0,129.0,175.0
FC Koln,Paderborn,3,0,1,1,0,1,47,53,9,3,1,0,4,2,4,1,5,4,5,3,1,1,0,0,3,3,0.0,0.0,206.0,253.0,19.0,12.0,47,74,30,27,0.0,0.0,162.0,219.0
Dortmund,Monchengladbach,1,0,1,0,0,0,57,43,10,5,3,1,2,2,5,2,7,7,8,1,2,0,1,3,5,7,0.0,0.0,0.0,0.0,0.0,0.0,51,44,32,22,0.0,0.0,0.0,0.0
Augsburg,Bayern,2,2,0,1,1,0,22,78,4,11,2,3,1,6,1,2,5,6,2,1,3,0,2,1,2,4,0.0,2.0,101.0,364.0,6.0,7.0,22,72,16,37,0.0,0.0,60.0,324.0
Bremen,Hertha,1,1,0,1,0,1,58,42,7,7,1,1,1,6,5,0,4,3,4,5,0,0,1,0,3,4,0.0,0.0,309.0,208.0,7.0,9.0,77,49,25,18,0.0,0.0,269.0,176.0
Dusseldorf,Mainz,1,0,1,0,0,0,47,53,7,3,0,1,4,1,3,1,8,4,3,0,0,3,1,0,4,4,0.0,2.0,222.0,256.0,8.0,9.0,55,57,22,12,0.0,1.0,183.0,218.0
RB Leipzig,Wolfsburg,1,1,0,0,0,0,65,35,6,5,2,2,4,2,0,1,6,8,2,3,0,0,2,2,6,5,0.0,3.0,279.0,150.0,7.0,3.0,70,43,31,15,0.0,0.0,215.0,95.0
Union Berlin,Freiburg,2,0,1,1,0,1,41,59,5,7,2,4,2,1,1,2,4,13,1,4,1,0,4,1,12,4,1.0,0.0,169.0,244.0,5.0,4.0,70,46,17,17,0.0,0.0,127.0,189.0
Frankfurt,Bremen,2,2,0,0,1,-1,56,44,14,5,2,2,9,2,3,1,3,9,4,1,0,0,1,2,8,3,1.0,1.0,216.0,180.0,5.0,10.0,36,23,20,11,0.0,0.0,168.0,131.0
Wolfsburg,Union Berlin,1,0,1,0,0,0,54,46,6,8,1,2,4,4,1,2,7,11,1,2,2,1,2,1,9,6,2.0,1.0,209.0,191.0,3.0,14.0,22,45,7,12,0.0,0.0,150.0,117.0
Monchengladbach,Augsburg,5,1,1,4,0,1,61,39,8,7,6,0,2,3,0,4,8,10,1,2,2,1,0,2,8,7,1.0,1.0,281.0,179.0,7.0,7.0,63,36,22,9,0.0,0.0,245.0,138.0
Schalke,FC Koln,1,1,0,0,0,0,50,50,4,4,1,2,2,2,1,0,11,12,2,0,2,1,2,1,9,10,3.0,2.0,218.0,218.0,10.0,5.0,50,38,21,21,0.0,0.0,174.0,168.0
